Initializing module baselineTestQoS.hostSSH[14].ipv4.igmp, stage 12
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	Inner feeds for Inner Class:  innerconnVID
[WARN]	   - Inner feed for priority 0:  Next to dequeue: None
[WARN]	   - Inner feed for priority 1:  Next to dequeue: None
[WARN]	   - Inner feed for priority 2:  Next to dequeue: None
[WARN]	   - Inner feed for priority 3:  Next to dequeue: None
[WARN]	   - Inner feed for priority 4:  Next to dequeue: None
[WARN]	   - Inner feed for priority 5:  Next to dequeue: None
[WARN]	   - Inner feed for priority 6:  Next to dequeue: None
[WARN]	   - Inner feed for priority 7:  Next to dequeue: None
[WARN]	Dequeue - The class to dequeue (level = 0; priority = 0) yielded a valid queue number 44 for dequeuing!
[WARN]	Dequeue - Queue index to dequeue returned: 44
** Event #227  t=0.012194621078  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp (Ppp, id=17296)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
** Event #228  t=0.012383940144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp (Ppp, id=17296)
** Event #229  t=0.012383940144  0% completed  (0% total)   baselineTestQoS.router0.ipv4.ip (Ipv4, id=20260)
** Event #230  t=0.012383940144  0% completed  (0% total)   baselineTestQoS.router0.ppp[302].ppp (Ppp, id=19533)
** Event #231  t=0.012384348144  0% completed  (0% total)   baselineTestQoS.router0.ppp[302].ppp (Ppp, id=19533)
** Event #232  t=0.012384448144  0% completed  (0% total)   baselineTestQoS.hostSSH[62].ppp[0].ppp (Ppp, id=11836)
** Event #233  t=0.012384448144  0% completed  (0% total)   baselineTestQoS.hostSSH[62].ipv4.ip (Ipv4, id=11849)
** Event #234  t=0.012384448144  0% completed  (0% total)   baselineTestQoS.hostSSH[62].tcp (Tcp, id=11829)
** Event #235  t=0.012384448144  0% completed  (0% total)   baselineTestQoS.hostSSH[62].ipv4.ip (Ipv4, id=11849)
** Event #236  t=0.012384448144  0% completed  (0% total)   baselineTestQoS.hostSSH[62].app[0] (TcpSimpleSshAppV2, id=11831)
** Event #237  t=0.012384448144  0% completed  (0% total)   baselineTestQoS.hostSSH[62].ppp[0].ppp (Ppp, id=11836)
** Event #238  t=0.012384824144  0% completed  (0% total)   baselineTestQoS.hostSSH[62].ppp[0].ppp (Ppp, id=11836)
** Event #239  t=0.012384924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[302].ppp (Ppp, id=19533)
** Event #240  t=0.012384924144  0% completed  (0% total)   baselineTestQoS.router0.ipv4.ip (Ipv4, id=20260)
** Event #241  t=0.012384924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp (Ppp, id=17296)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
[FATAL]	Enqueue packet to 392
[WARN]	activateClassPrios called for class leafhostSSH62
[WARN]	Class: leafhostSSH62
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.010379578544
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnSSH
[WARN]	   - current tokens: -40736000
[WARN]	   - current ctokens: -37026909
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 392
[WARN]	Expected class leafhostSSH62 change at simtime 0.012384925144
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 4 elements
[WARN]	Class: leafhostSSH62
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.010379578544
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnSSH
[WARN]	   - current tokens: -40736000
[WARN]	   - current ctokens: -37026909
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 392
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 4 elements
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.012484924144
** Event #242  t=0.012484924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.012584924144
** Event #243  t=0.012584924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.012684924144
** Event #244  t=0.012628296428  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
** Event #245  t=0.012628296428  0% completed  (0% total)   baselineTestQoS.router1.ipv4.ip (Ipv4, id=20762)
** Event #246  t=0.012628296428  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #247  t=0.012628337228  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #248  t=0.012628437228  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #249  t=0.012628437228  0% completed  (0% total)   baselineTestQoS.serverVID.ipv4.ip (Ipv4, id=20820)
** Event #250  t=0.012628437228  0% completed  (0% total)   baselineTestQoS.serverVID.tcp (Tcp, id=20800)
Initializing module baselineTestQoS.serverVID.tcp.conn-1374, stage 0
** Event #251  t=0.012628437228  0% completed  (0% total)   baselineTestQoS.serverVID.ipv4.ip (Ipv4, id=20820)
** Event #252  t=0.012628437228  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #253  t=0.012628478028  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #254  t=0.012628578028  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #255  t=0.012628578028  0% completed  (0% total)   baselineTestQoS.router1.ipv4.ip (Ipv4, id=20762)
** Event #256  t=0.012628578028  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
[FATAL]	Enqueue packet to 36
[WARN]	activateClassPrios called for class leafhostVID36
[WARN]	Class: leafhostVID36
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: 64000
[WARN]	   - current ctokens: 64000
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 36
[WARN]	Class: leafhostVID36
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: 64000
[WARN]	   - current ctokens: 64000
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 36
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0: leafhostVID36 ; Next to dequeue: leafhostVID36
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 1 elements
[WARN]	The following class can send...
[WARN]	Class: leafhostVID36
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: 64000
[WARN]	   - current ctokens: 64000
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 36
[WARN]	Curr num packets to dequeue: 1; All packets: 1; Possible to dequeue: 36;
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0: leafhostVID36 ; Next to dequeue: leafhostVID36
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 1 elements
[WARN]	doEvents: Considering class leafhostSSH62 event lies in the future...
[WARN]	doEvents: Next event scheduled at 0.048408809144 but current time is 0.012628578028
[WARN]	doEvents: Wait queue for level 0: leafhostSSH62(0.048408809144); 
[WARN]	Dequeue - testing: level = 0; priority = 0
[WARN]	Dequeue - Found class to dequeue on level 0 and priority 0
[WARN]	Checking class leafhostVID36
[WARN]	Could pop packet on class leafhostVID36!
[WARN]	Deactivate class called from htbDequeue!
[WARN]	deactivateClassPrios called for class leafhostVID36
[WARN]	Working on class leafhostVID36 now with mode 0
[WARN]	Class leafhostVID36 is with with mode 0 and is active on some priority!
[WARN]	Class is active on priority 0
[WARN]	Class was considered next to dequeue on level  0 and priority 0
[WARN]	Size 0 = 1
[WARN]	There was one or fewer classe in the self feed for level 0 and priority 0
[WARN]	Set next to dequeue to NULL
[WARN]	Erase class leafhostVID36 with with mode 0 from self feed on level 0 and priority 0
[WARN]	Diff is: 12628578; Packet Bytes: 51Used toks:637500Used ctoks:579545
[WARN]	Mode changed from 0 to 2
[WARN]	Expected class leafhostVID36 change at simtime 0.013144123028
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 2 elements
[WARN]	Added leafhostVID36 to wait queue on level 0
[WARN]	Diff is: 12628578; Packet Bytes: 51Used toks:7968.75Used ctoks:7244.32
[WARN]	Diff is: 1246677; Packet Bytes: 51Used toks:2040Used ctoks:2040
[WARN]	Class: leafhostVID36
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.012628578028
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -573500
[WARN]	   - current ctokens: -515545
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 0;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 36
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 2 elements
[WARN]	Inner feeds for Inner Class:  innerconnVID
[WARN]	   - Inner feed for priority 0:  Next to dequeue: None
[WARN]	   - Inner feed for priority 1:  Next to dequeue: None
[WARN]	   - Inner feed for priority 2:  Next to dequeue: None
[WARN]	   - Inner feed for priority 3:  Next to dequeue: None
[WARN]	   - Inner feed for priority 4:  Next to dequeue: None
[WARN]	   - Inner feed for priority 5:  Next to dequeue: None
[WARN]	   - Inner feed for priority 6:  Next to dequeue: None
[WARN]	   - Inner feed for priority 7:  Next to dequeue: None
[WARN]	Dequeue - The class to dequeue (level = 0; priority = 0) yielded a valid queue number 36 for dequeuing!
[WARN]	Dequeue - Queue index to dequeue returned: 36
** Event #257  t=0.012630618028  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
** Event #258  t=0.012684924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.012784924144
** Event #259  t=0.012784924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.012884924144
** Event #260  t=0.012884924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.012984924144
** Event #261  t=0.012984924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.013084924144
** Event #262  t=0.013084924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.013184924144
** Event #263  t=0.013184924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.013284924144
** Event #264  t=0.013194621078  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
** Event #265  t=0.013194621078  0% completed  (0% total)   baselineTestQoS.router1.ipv4.ip (Ipv4, id=20762)
** Event #266  t=0.013194621078  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #267  t=0.013194661878  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #268  t=0.013194761878  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #269  t=0.013194761878  0% completed  (0% total)   baselineTestQoS.serverVID.ipv4.ip (Ipv4, id=20820)
** Event #270  t=0.013194761878  0% completed  (0% total)   baselineTestQoS.serverVID.tcp (Tcp, id=20800)
Initializing module baselineTestQoS.serverVID.tcp.conn-1375, stage 0
** Event #271  t=0.013194761878  0% completed  (0% total)   baselineTestQoS.serverVID.ipv4.ip (Ipv4, id=20820)
** Event #272  t=0.013194761878  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #273  t=0.013194802678  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #274  t=0.013194902678  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #275  t=0.013194902678  0% completed  (0% total)   baselineTestQoS.router1.ipv4.ip (Ipv4, id=20762)
** Event #276  t=0.013194902678  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
[FATAL]	Enqueue packet to 44
[WARN]	activateClassPrios called for class leafhostVID44
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: 64000
[WARN]	   - current ctokens: 64000
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 44
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: 64000
[WARN]	   - current ctokens: 64000
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 44
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0: leafhostVID44 ; Next to dequeue: leafhostVID44
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 2 elements
[WARN]	The following class can send...
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: 64000
[WARN]	   - current ctokens: 64000
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 44
[WARN]	Curr num packets to dequeue: 1; All packets: 1; Possible to dequeue: 44;
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0: leafhostVID44 ; Next to dequeue: leafhostVID44
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 2 elements
[WARN]	doEvents: Considering class leafhostVID36 in new mode 1
[WARN]	Expected class leafhostVID36 change at simtime 0.013202078678
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0: leafhostVID44 ; Next to dequeue: leafhostVID44
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 2 elements
[WARN]	doEvents: Considering class leafhostSSH62 event lies in the future...
[WARN]	doEvents: Next event scheduled at 0.048408809144 but current time is 0.013194902678
[WARN]	doEvents: Wait queue for level 0: leafhostVID36(0.013202078678); leafhostSSH62(0.048408809144); 
[WARN]	Dequeue - testing: level = 0; priority = 0
[WARN]	Dequeue - Found class to dequeue on level 0 and priority 0
[WARN]	Checking class leafhostVID44
[WARN]	Could pop packet on class leafhostVID44!
[WARN]	Deactivate class called from htbDequeue!
[WARN]	deactivateClassPrios called for class leafhostVID44
[WARN]	Working on class leafhostVID44 now with mode 0
[WARN]	Class leafhostVID44 is with with mode 0 and is active on some priority!
[WARN]	Class is active on priority 0
[WARN]	Class was considered next to dequeue on level  0 and priority 0
[WARN]	Size 0 = 1
[WARN]	There was one or fewer classe in the self feed for level 0 and priority 0
[WARN]	Set next to dequeue to NULL
[WARN]	Erase class leafhostVID44 with with mode 0 from self feed on level 0 and priority 0
[WARN]	Diff is: 13194902; Packet Bytes: 51Used toks:637500Used ctoks:579545
[WARN]	Mode changed from 0 to 2
[WARN]	Expected class leafhostVID44 change at simtime 0.013710447678
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	Added leafhostVID44 to wait queue on level 0
[WARN]	Diff is: 566324; Packet Bytes: 51Used toks:7968.75Used ctoks:7244.32
[WARN]	Diff is: 566324; Packet Bytes: 51Used toks:2040Used ctoks:2040
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.013194902678
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -573500
[WARN]	   - current ctokens: -515545
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 0;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 44
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	Inner feeds for Inner Class:  innerconnVID
[WARN]	   - Inner feed for priority 0:  Next to dequeue: None
[WARN]	   - Inner feed for priority 1:  Next to dequeue: None
[WARN]	   - Inner feed for priority 2:  Next to dequeue: None
[WARN]	   - Inner feed for priority 3:  Next to dequeue: None
[WARN]	   - Inner feed for priority 4:  Next to dequeue: None
[WARN]	   - Inner feed for priority 5:  Next to dequeue: None
[WARN]	   - Inner feed for priority 6:  Next to dequeue: None
[WARN]	   - Inner feed for priority 7:  Next to dequeue: None
[WARN]	Dequeue - The class to dequeue (level = 0; priority = 0) yielded a valid queue number 44 for dequeuing!
[WARN]	Dequeue - Queue index to dequeue returned: 44
** Event #277  t=0.013196942678  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
** Event #278  t=0.013284924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.013384924144
** Event #279  t=0.013384924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.013484924144
** Event #280  t=0.013484924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.013584924144
** Event #281  t=0.013584924144  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.013684924144
** Event #282  t=0.013630618028  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp (Ppp, id=17296)
** Event #283  t=0.013630618028  0% completed  (0% total)   baselineTestQoS.router0.ipv4.ip (Ipv4, id=20260)
** Event #284  t=0.013630618028  0% completed  (0% total)   baselineTestQoS.router0.ppp[37].ppp (Ppp, id=17943)
** Event #285  t=0.013631026028  0% completed  (0% total)   baselineTestQoS.router0.ppp[37].ppp (Ppp, id=17943)
** Event #286  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].ppp[0].ppp (Ppp, id=2561)
** Event #287  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].ipv4.ip (Ipv4, id=2574)
** Event #288  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].tcp (Tcp, id=2554)
** Event #289  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].ipv4.ip (Ipv4, id=2574)
** Event #290  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].app[0] (TCPVideoStreamCliAppV2, id=2556)
** Event #291  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].ppp[0].ppp (Ppp, id=2561)
** Event #292  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].tcp (Tcp, id=2554)
** Event #293  t=0.013631126028  0% completed  (0% total)   baselineTestQoS.hostVID[36].ipv4.ip (Ipv4, id=2574)
